#k-distance eigenvalue[eV]
0.44789015 -12.53630000
0.46447865 -12.52120000
0.48106719 -12.50570000
0.49765570 -12.48990000
0.51424424 -12.47380000
0.53083274 -12.45740000
0.54742129 -12.44070000
0.56400979 -12.42380000
0.58059833 -12.40670000
0.59718683 -12.38940000
0.61377538 -12.37190000
0.63036388 -12.35430000
0.64695242 -12.33660000
0.66354093 -12.31880000
0.68012947 -12.30100000
0.69671797 -12.28310000
0.71330652 -12.26520000
0.72989502 -12.24740000
0.74648356 -12.22960000
0.76307207 -12.21190000
0.77966061 -12.19440000
0.79624911 -12.17700000
0.81283766 -12.15980000
0.82942616 -12.14280000
0.84601470 -12.12600000
0.86260321 -12.10960000
0.87919175 -12.09350000
0.89578025 -12.07770000
0.91236880 -12.06220000
0.92895730 -12.04720000
0.94554584 -12.03270000
0.96213435 -12.01860000
0.97872289 -12.00500000
0.99531139 -11.99190000
1.01189993 -11.97940000
1.02848844 -11.96740000
1.04507698 -11.95610000
1.06166548 -11.94540000
1.07825403 -11.93530000
1.09484253 -11.92590000
1.11143107 -11.91720000
1.12801958 -11.90910000
1.14460812 -11.90180000
1.16119662 -11.89520000
1.17778517 -11.88930000
1.19437367 -11.88410000
1.21096221 -11.87960000
1.22755072 -11.87590000
1.24413926 -11.87280000
1.26072776 -11.87050000
1.27731631 -11.86880000
1.29390481 -11.86790000
1.31049335 -11.86750000
1.31049335 -11.86750000
1.31878762 -11.86760000
1.32708188 -11.86790000
1.33537615 -11.86820000
1.34367040 -11.86880000
1.35196468 -11.86950000
1.36025893 -11.87030000
1.36855320 -11.87130000
1.37684746 -11.87240000
1.38514173 -11.87360000
1.39343598 -11.87490000
1.40173026 -11.87640000
1.41002451 -11.87800000
1.41831878 -11.87970000
1.42661304 -11.88160000
1.43490731 -11.88350000
1.44320156 -11.88550000
1.45149584 -11.88770000
1.45979009 -11.88990000
1.46808436 -11.89220000
1.47637862 -11.89460000
1.48467289 -11.89710000
1.49296714 -11.89960000
1.50126141 -11.90220000
1.50955567 -11.90490000
1.51784994 -11.90760000
1.52614419 -11.91040000
1.53443847 -11.91330000
1.54273272 -11.91610000
